"country","year","sex","age","suicides_no","population","continent","rate"
"Albania",2010,"female","5-14 years",2,"223969","Europe","0.892980725"
"Albania",1989,"female","75+ years",0,"37000","Europe","0"
"Albania",1995,"male","25-34 years",13,"232900","Europe","5.581794762"
"Albania",1996,"female","25-34 years",10,"267900","Europe","3.732736096"
"Albania",1993,"male","75+ years",1,"24200","Europe","4.132231405"
"Albania",2010,"female","35-54 years",12,"394593","Europe","3.04110818"
"Albania",2001,"female","25-34 years",4,"222771","Europe","1.79556585"
"Albania",2003,"male","25-34 years",9,"205433","Europe","4.380990396"
"Albania",1994,"female","15-24 years",6,"282600","Europe","2.123142251"
"Albania",2009,"female","55-74 years",0,"233302","Europe","0"
"Albania",1989,"male","35-54 years",15,"318400","Europe","4.711055276"
"Albania",1995,"female","15-24 years",13,"283500","Europe","4.585537919"
"Albania",2000,"female","5-14 years",0,"324700","Europe","0"
"Albania",2002,"female","15-24 years",14,"275970","Europe","5.073015183"
"Albania",1994,"female","25-34 years",4,"261100","Europe","1.531980084"
"Albania",1990,"female","25-34 years",0,"278000","Europe","0"
"Albania",1995,"female","55-74 years",2,"180400","Europe","1.10864745"
"Albania",2008,"male","75+ years",2,"44574","Europe","4.486920626"
"Albania",2000,"female","55-74 years",0,"168000","Europe","0"
"Albania",2013,"male","25-34 years",0,"204491","Europe","0"
"Albania",2002,"female","5-14 years",1,"304850","Europe","0.328030179"
"Albania",1990,"male","55-74 years",0,"149700","Europe","0"
"Albania",2013,"male","5-14 years",0,"204865","Europe","0"
"Albania",1990,"male","75+ years",0,"23200","Europe","0"
"Albania",1997,"male","55-74 years",12,"180300","Europe","6.655574043"
"Albania",2009,"male","75+ years",0,"47331","Europe","0"
"Albania",1989,"male","15-24 years",12,"323500","Europe","3.70942813"
"Albania",2002,"female","25-34 years",7,"223685","Europe","3.12940072"
"Albania",2002,"female","35-54 years",15,"375113","Europe","3.99879503"
"Albania",2005,"male","25-34 years",0,"177519","Europe","0"
"Albania",2005,"female","75+ years",0,"53191","Europe","0"
"Albania",2009,"female","15-24 years",0,"270003","Europe","0"
"Albania",2009,"female","25-34 years",0,"182712","Europe","0"
"Albania",2013,"male","35-54 years",0,"372005","Europe","0"
"Albania",1985,"female","55-74 years",0,"138700","Europe","0"
"Albania",1988,"female","15-24 years",8,"295600","Europe","2.706359946"
"Albania",1988,"female","25-34 years",5,"262400","Europe","1.905487805"
"Albania",2001,"male","5-14 years",6,"321556","Europe","1.86592693"
"Albania",2001,"male","55-74 years",11,"196670","Europe","5.59312554"
"Albania",2001,"male","75+ years",1,"31044","Europe","3.221234377"
