"country","year","sex","age","suicides_no","population","continent"
"Albania",2010,"female","5-14 years",2,"223969","Europe"
"Albania",1989,"female","75+ years",0,"37000","Europe"
"Albania",1995,"male","25-34 years",13,"232900","Europe"
"Albania",1996,"female","25-34 years",10,"267900","Europe"
"Albania",1993,"male","75+ years",1,"24200","Europe"
"Albania",2010,"female","35-54 years",12,"394593","Europe"
"Albania",2001,"female","25-34 years",4,"222771","Europe"
"Albania",2003,"male","25-34 years",9,"205433","Europe"
"Albania",1994,"female","15-24 years",6,"282600","Europe"
"Albania",2009,"female","55-74 years",0,"233302","Europe"
"Albania",1989,"male","35-54 years",15,"318400","Europe"
"Albania",1995,"female","15-24 years",13,"283500","Europe"
"Albania",2000,"female","5-14 years",0,"324700","Europe"
"Albania",2002,"female","15-24 years",14,"275970","Europe"
"Albania",1994,"female","25-34 years",4,"261100","Europe"
"Albania",1990,"female","25-34 years",0,"278000","Europe"
"Albania",1995,"female","55-74 years",2,"180400","Europe"
"Albania",2008,"male","75+ years",2,"44574","Europe"
"Albania",2000,"female","55-74 years",0,"168000","Europe"
"Albania",2013,"male","25-34 years",0,"204491","Europe"
"Albania",2002,"female","5-14 years",1,"304850","Europe"
"Albania",1990,"male","55-74 years",0,"149700","Europe"
"Albania",2013,"male","5-14 years",0,"204865","Europe"
"Albania",1990,"male","75+ years",0,"23200","Europe"
"Albania",1997,"male","55-74 years",12,"180300","Europe"
"Albania",2009,"male","75+ years",0,"47331","Europe"
"Albania",1989,"male","15-24 years",12,"323500","Europe"
"Albania",2002,"female","25-34 years",7,"223685","Europe"
"Albania",2002,"female","35-54 years",15,"375113","Europe"
"Albania",2005,"male","25-34 years",0,"177519","Europe"
"Albania",2005,"female","75+ years",0,"53191","Europe"
"Albania",2009,"female","15-24 years",0,"270003","Europe"
"Albania",2009,"female","25-34 years",0,"182712","Europe"
"Albania",2013,"male","35-54 years",0,"372005","Europe"
"Albania",1985,"female","55-74 years",0,"138700","Europe"
"Albania",1988,"female","15-24 years",8,"295600","Europe"
"Albania",1988,"female","25-34 years",5,"262400","Europe"
"Albania",2001,"male","5-14 years",6,"321556","Europe"
"Albania",2001,"male","55-74 years",11,"196670","Europe"
"Albania",2001,"male","75+ years",1,"31044","Europe"
"Albania",1985,"female","25-34 years",0,"246800","Europe"
"Albania",2010,"female","25-34 years",6,"183579","Europe"
"Albania",2002,"male","5-14 years",1,"319473","Europe"
"Albania",1990,"male","35-54 years",0,"337700","Europe"
"Albania",1990,"male","15-24 years",0,"325600","Europe"
"Albania",1985,"female","15-24 years",0,"277900","Europe"
"Albania",1990,"male","5-14 years",0,"355600","Europe"
"Albania",1987,"male","75+ years",1,"21800","Europe"
"Albania",2009,"female","5-14 years",0,"236174","Europe"
"Albania",2010,"male","5-14 years",0,"240939","Europe"
"Albania",1992,"male","35-54 years",12,"343800","Europe"
"Albania",1992,"male","5-14 years",0,"362900","Europe"
"Albania",2015,"male","15-24 years",0,"240777","Europe"
"Albania",2012,"female","5-14 years",0,"198385","Europe"
"Albania",2005,"male","5-14 years",0,"291367","Europe"
"Albania",2005,"male","15-24 years",0,"281675","Europe"
"Albania",1985,"male","5-14 years",0,"325800","Europe"
"Albania",2010,"female","15-24 years",6,"263581","Europe"
"Albania",1988,"male","35-54 years",14,"314100","Europe"
"Albania",1990,"female","55-74 years",0,"156400","Europe"
"Albania",1995,"female","25-34 years",7,"264000","Europe"
"Albania",2000,"female","35-54 years",5,"332200","Europe"
"Albania",1985,"female","35-54 years",0,"267500","Europe"
"Albania",2004,"female","5-14 years",3,"286705","Europe"
"Albania",2004,"female","55-74 years",3,"203841","Europe"
"Albania",2007,"male","5-14 years",4,"272497","Europe"
"Albania",1987,"male","35-54 years",16,"308000","Europe"
"Albania",1998,"female","15-24 years",32,"295600","Europe"
"Albania",1991,"female","5-14 years",0,"333300","Europe"
"Albania",1991,"female","55-74 years",0,"160800","Europe"
"Albania",1999,"male","55-74 years",14,"185200","Europe"
"Albania",1999,"male","75+ years",3,"25900","Europe"
"Albania",2000,"female","15-24 years",6,"263900","Europe"
"Albania",2000,"female","25-34 years",3,"245800","Europe"
"Albania",2010,"male","35-54 years",20,"371611","Europe"
"Albania",1985,"male","15-24 years",0,"301400","Europe"
"Albania",1985,"female","75+ years",0,"34200","Europe"
"Albania",1995,"male","55-74 years",9,"178000","Europe"
"Albania",1993,"male","15-24 years",18,"243300","Europe"
"Albania",1990,"female","75+ years",0,"37600","Europe"
"Albania",2008,"female","35-54 years",19,"393832","Europe"
"Albania",2008,"female","5-14 years",1,"246288","Europe"
"Albania",2008,"female","55-74 years",7,"226448","Europe"
"Albania",2008,"female","75+ years",5,"59369","Europe"
"Albania",2008,"male","15-24 years",11,"286702","Europe"
"Albania",2008,"male","25-34 years",21,"172855","Europe"
"Albania",2008,"male","35-54 years",37,"377119","Europe"
"Albania",2008,"male","5-14 years",7,"262464","Europe"
"Albania",1999,"female","15-24 years",19,"296800","Europe"
"Albania",2006,"male","55-74 years",0,"219360","Europe"
"Albania",2011,"male","75+ years",0,"54228","Europe"
"Albania",2005,"female","15-24 years",0,"281922","Europe"
"Albania",2015,"male","55-74 years",0,"287770","Europe"
"Albania",1998,"male","15-24 years",27,"248800","Europe"
"Albania",2002,"male","35-54 years",35,"382139","Europe"
"Albania",2015,"female","15-24 years",0,"212324","Europe"
"Albania",2013,"female","15-24 years",0,"237550","Europe"
"Albania",1999,"male","5-14 years",0,"391300","Europe"
"Albania",2006,"female","55-74 years",0,"215907","Europe"
"Albania",2006,"female","75+ years",0,"56011","Europe"
"Albania",2006,"male","15-24 years",0,"286679","Europe"
"Albania",2006,"male","25-34 years",0,"174092","Europe"
"Albania",2003,"male","75+ years",1,"32667","Europe"
"Albania",2009,"male","5-14 years",0,"253007","Europe"
"Albania",2009,"male","55-74 years",0,"234570","Europe"
"Albania",2004,"female","75+ years",3,"50970","Europe"
"Albania",2004,"male","15-24 years",19,"286768","Europe"
"Albania",2004,"male","25-34 years",16,"203938","Europe"
"Albania",2014,"female","5-14 years",0,"177838","Europe"
"Albania",1997,"male","5-14 years",4,"381500","Europe"
"Albania",1994,"male","55-74 years",11,"171400","Europe"
"Albania",2001,"female","5-14 years",2,"307356","Europe"
"Albania",1987,"male","5-14 years",0,"338200","Europe"
"Albania",1987,"male","55-74 years",1,"137500","Europe"
"Albania",2007,"male","35-54 years",29,"378626","Europe"
"Albania",2003,"male","5-14 years",4,"313204","Europe"
"Albania",2014,"male","25-34 years",0,"213828","Europe"
"Albania",1998,"female","25-34 years",10,"275300","Europe"
"Albania",2008,"female","15-24 years",20,"276073","Europe"
"Albania",2008,"female","25-34 years",9,"182663","Europe"
"Albania",2014,"male","55-74 years",0,"277604","Europe"
"Albania",2014,"male","75+ years",0,"61678","Europe"
"Albania",1998,"female","75+ years",0,"42300","Europe"
